dataset,meta-estimator,outcome_model,params_outcome_model,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_median_absolute_error,std_test_neg_median_absolute_error,rank_test_neg_median_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2,ate_mean_abs_error,ate_bias,ate_abs_bias,ate_squared_bias,ate_variance,ate_std_error,ate_mse,ate_rmse,mean_ite_bias,mean_ite_abs_bias,mean_ite_squared_bias,mean_ite_variance,mean_ite_std_error,mean_ite_mse,mean_ite_rmse,mean_pehe_squared,mean_pehe,std_of_ite_bias,std_of_ite_abs_bias,std_of_ite_squared_bias,std_of_ite_variance,std_of_ite_std_error,std_of_ite_mse,std_of_ite_rmse,std_of_pehe_squared,std_of_pehe,time,param_alpha,param_C,param_svm__C,param_n_neighbors,param_max_depth,prop_score_model,params_prop_score_model,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,mean_test_f1,std_test_f1,rank_test_f1,mean_test_precision,std_test_precision,rank_test_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
lalonde_psid,standardization,LinearRegression,{},-72967.24,15325.43,1.0,-6802.31,404.26,1.0,-5055.13,301.85,1.0,-99612501.16,18881999.51,1.0,-9925.91,943.3,1.0,0.59,0.06,1.0,14097.2,14097.2,14097.2,198731024.28,2602014.65,1613.08,201333038.93,14189.19,14226.37,14876.33,353115241.12,2602014.65,1613.08,355717255.77,15094.67,355717255.77,18818.59,12277.04,11480.85,538180975.43,0.0,0.0,538180975.43,11307.88,49452506.61,1256.18,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,LinearRegression_interact,{},-73428.12,15809.54,1.0,-7074.4,702.75,1.0,-5322.44,603.45,1.0,-107283836.17,25459775.51,1.0,-10274.86,1194.06,1.0,0.56,0.09,1.0,3483.41,-3157.29,3157.29,9968472.71,5068789.12,2251.4,15037261.82,3877.79,-3028.12,3292.32,17743286.21,22477471.75,4123.73,40220757.95,5533.77,40220757.95,6094.42,2928.1,2627.53,38109984.24,31948759.56,2339.3,63750423.32,3098.09,22947790.58,1754.65,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,LinearRegression_degree2,{},-73743.51,14841.8,1.0,-6954.49,406.58,1.0,-5253.52,353.97,1.0,-104279176.33,18255772.36,1.0,-10160.05,901.95,1.0,0.57,0.06,1.0,3391.02,-3122.71,3122.71,9751319.56,4798933.64,2190.65,14550253.2,3814.48,-2993.54,3227.37,16892626.02,21093200.7,4006.67,37985826.72,5405.09,37985826.72,5961.98,2816.26,2544.94,35919369.49,30211151.57,2244.96,58789677.7,2961.56,19147917.23,1562.25,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 0.0001},-72967.24,15325.43,7.8,-6802.31,404.26,9.2,-5055.13,301.85,8.0,-99612499.75,18881999.83,9.8,-9925.91,943.3,10.0,0.59,0.06,9.8,14097.2,14097.2,14097.2,198730987.44,2602007.93,1613.07,201332995.36,14189.19,14226.37,14876.33,353115203.94,2602007.93,1613.07,355717211.86,15094.67,355717211.86,18818.59,12277.04,11480.85,538180946.96,0.0,0.0,538180946.96,11307.88,49452434.1,1256.17,0.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 0.001},-72967.24,15325.43,7.2,-6802.31,404.26,8.6,-5055.13,301.85,7.4,-99612487.06,18882002.69,8.8,-9925.91,943.3,9.0,0.59,0.06,8.8,14097.19,14097.19,14097.19,198730655.83,2601947.45,1613.06,201332603.28,14189.17,14226.36,14876.32,353114869.29,2601947.45,1613.06,355716816.74,15094.66,355716816.74,18818.58,12277.04,11480.85,538180690.74,0.0,0.0,538180690.74,11307.88,49451781.57,1256.16,0.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 0.01},-72967.25,15325.43,6.6,-6802.3,404.26,8.0,-5055.09,301.82,6.8,-99612360.18,18882031.34,7.8,-9925.91,943.3,8.0,0.59,0.06,7.8,14097.07,14097.07,14097.07,198727340.23,2601342.75,1612.87,201328682.98,14189.03,14226.24,14876.24,353111523.31,2601342.75,1612.87,355712866.06,15094.53,355712866.06,18818.48,12277.04,11480.81,538178128.83,0.0,0.0,538178128.83,11307.88,49445257.19,1256.0,0.11,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 0.1},-72967.37,15325.39,6.0,-6802.23,404.24,7.4,-5054.73,301.58,6.2,-99611096.19,18882318.18,6.8,-9925.84,943.32,7.0,0.59,0.06,6.8,14095.89,14095.89,14095.89,198694231.22,2595306.97,1611.0,201289538.19,14187.65,14225.06,14875.4,353078110.92,2595306.97,1611.0,355673417.89,15093.25,355673417.89,18817.54,12277.04,11480.45,538152545.02,0.0,0.0,538152545.02,11307.84,49380102.62,1254.48,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 1.0},-72968.43,15325.07,5.4,-6801.57,404.1,6.8,-5052.94,301.1,6.6,-99598917.71,18885222.04,5.6,-9925.22,943.51,6.0,0.59,0.06,5.8,14084.31,14084.31,14084.31,198367768.63,2536051.79,1592.5,200903820.42,14174.05,14213.48,14867.12,352748655.49,2536051.79,1592.5,355284707.28,15080.63,355284707.28,18808.21,12277.04,11476.82,537900186.11,0.0,0.0,537900186.11,11307.49,48737377.15,1239.37,0.11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 10.0},-72973.48,15324.05,4.8,-6796.36,403.25,5.0,-5051.4,303.87,5.0,-99509310.34,18914558.07,4.4,-9920.6,945.24,4.8,0.59,0.06,4.6,13982.36,13982.36,13982.36,195506512.14,2038543.7,1427.78,197545055.84,14055.07,14111.53,14794.44,349861062.4,2038543.7,1427.78,351899606.09,14970.93,351899606.09,18726.38,12277.04,11444.9,535680845.83,0.0,0.0,535680845.83,11303.57,43092219.06,1105.51,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 100.0},-72942.95,15325.66,4.0,-6781.19,403.26,3.6,-5052.07,300.4,5.0,-99267342.69,19043183.48,3.8,-9907.94,952.01,3.6,0.59,0.06,3.6,13543.87,13543.87,13543.87,183436396.78,485890.77,697.06,183922287.55,13561.8,13673.04,14488.13,337677665.65,485890.77,697.06,338163556.41,14537.33,338163556.41,18381.69,12277.04,11303.62,526163862.89,0.0,0.0,526163862.89,11261.87,19732712.07,526.31,0.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
