age,education,black,hispanic,married,nodegree,re74,re75,t,y,y0,y1,ite
37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1722.298,1722.298,11578.856,9856.559
30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25705.588,0.0,25705.588,25705.588
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7085.635,4794.4824,7085.635,2291.1523
33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4745.7524,0.0,-4745.7524
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12948.333,12948.333,11887.754,-1060.5791
32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2128.9636,0.0,2128.9636,2128.9636
22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,174.44064,174.44064,2459.6077,2285.167
33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1071.425,1071.425,4907.9795,3836.5544
19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,99.67055,0.0,-99.67055
21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6973.903,0.0,6973.903,6973.903
18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12093.147,12093.147,642.4233,-11450.725
27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1011.2895,0.0,-1011.2895
17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2595.1885,4300.6445,2595.1885,-1705.456
19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8866.73,8172.704,8866.73,694.02637
27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22552.297,22552.297,31920.527,9368.23
23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8236.03,8236.03,7772.17,-463.86035
40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27500.68,2553.2446,27500.68,24947.436
26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,29441.955,2390.5557,29441.955,27051.398
23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1373.9615,1373.9615,2877.0938,1503.1322
41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8842.317,0.0,8842.317,8842.317
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,859.3452,859.3452,0.0,-859.3452
18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8566.005,7597.093,8566.005,968.9121
29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,718.32556,25564.67,718.32556,-24846.344
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,762.9238,762.9238,2035.6147,1272.6909
27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11756.086,11756.086
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10314.418,0.0,-10314.418
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4701.4194,0.0,4701.4194,4701.4194
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4887.5205,9037.226,4887.5205,-4149.705
48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1339.1548,1339.1548
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3042.321,0.0,3042.321,3042.321
20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5948.9478,5948.9478,6605.341,656.39307
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4009.5095,6197.0244,4009.5095,-2187.515
42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1848.2256,1848.2256
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9528.14,4409.3555,9528.14,5118.784
23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1703.6803,1703.6803,1182.8358,-520.8445
46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1523.1438,1523.1438,7622.8994,6099.756
24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8154.7026,8154.7026,3154.352,-5000.3506
19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1781.4043,14647.761,1781.4043,-12866.356
18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10006.997,10006.997
20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9478.261,9478.261,746.18536,-8732.075
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
