age,education,black,hispanic,married,nodegree,re74,re75,t,y,y0,y1,ite
37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4691.1885,0.0,4691.1885,4691.1885
22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9645.345,9645.345
30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2452.4614,2452.4614,0.0,-2452.4614
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23819.055,23819.055
33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16096.121,16096.121
22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12977.214,12977.214,11201.948,-1775.2656
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4739.177,0.0,4739.177,4739.177
33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6272.619,0.0,6272.619,6272.619
19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5278.7983,0.0,-5278.7983
21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4981.646,4981.646
18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8198.086,8198.086
27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1674.114,1674.114,9712.679,8038.5645
17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9070.712,9070.712,9873.589,802.87695
19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7855.826,7855.826,5806.8613,-2048.9648
27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6905.563,0.0,6905.563,6905.563
23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3836.294,3836.294,2950.7332,-885.5608
40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17265.12,17265.12
26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9071.648,0.0,9071.648,9071.648
23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7968.2686,7968.2686
41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6926.27,0.0,6926.27,6926.27
18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11063.846,11063.846,4251.207,-6812.6387
29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,975.8127,975.8127
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10723.351,0.0,10723.351,10723.351
27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14833.172,0.0,14833.172,14833.172
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2268.2122,2268.2122,15498.1875,13229.976
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8636.571,0.0,8636.571,8636.571
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8564.861,8564.861,12198.354,3633.4922
48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9402.287,0.0,9402.287,9402.287
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.3096,5020.3096
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8201.242,0.0,8201.242,8201.242
42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8310.847,8310.847
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3969.444,3969.444
23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5641.6606,0.0,-5641.6606
46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2487.0051,2487.0051,0.0,-2487.0051
24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9048.051,9048.051
21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14999.818,11860.045,14999.818,3139.7734
19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8894.884,11997.964,8894.884,-3103.08
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13040.157,13040.157,0.0,-13040.157
20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6652.1084,6652.1084
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11949.104,11949.104,12346.663,397.55957
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14689.244,14689.244,1033.4542,-13655.79
17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019.6848,2019.6848
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1877.4944,1877.4944
28.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9342.753,0.0,9342.753,9342.753
31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8154.1255,7873.521,8154.1255,280.6045
18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12540.864,12540.864
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6078.486,19696.033,6078.486,-13617.547
30.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4201.015,0.0,4201.015,4201.015
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4000.6143,0.0,4000.6143,4000.6143
41.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15983.427,15983.427
42.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2963.5537,2963.5537
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,19756.98,0.0,19756.98,19756.98
29.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19435.678,19435.678,0.0,-19435.678
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8160.7173,8160.7173
29.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4402.3247,4402.3247
28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9730.006,2579.102,9730.006,7150.904
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
